2016-07-09 16:43, 8.000, 75.000, 2010, impreza, newyork, manual, good, clean, 2010 Subaru Impreza 2.5i Sedan, 2016-07-09 13:07, http://hudsonvalley.craigslist.org/cto/5674746713.html, db:5674746713:db 
2016-07-09 16:43, 8.800, 69.000, 2011, impreza, newyork, automatic, unknown, clean, 2011 Subaru Impreza 2.5i Sedan Red/blk 69k Miles Clean title Nice Car, 2016-07-09 11:22, http://longisland.craigslist.org/cto/5642818134.html, db:5642818134:db 
2016-07-09 16:43, 12.500, 52.800, 2011, impreza, newyork, automatic, excellent, clean, 2011 Subaru Impreza Hatchback, 2016-07-05 18:47, http://newhaven.craigslist.org/cto/5668881651.html, db:5668881651:db 
2016-07-09 16:43, 14.500, 36.000, 2013, impreza, newyork, automatic, excellent, clean, Subaru Impreza 2013 Sport Premium Hatchback, 2016-06-20 23:30, http://newjersey.craigslist.org/cto/5645712788.html, db:5645712788:db 
2016-07-09 16:43, 16.000, 37.000, 2014, impreza, newyork, automatic, unknown, clean, Subaru Impreza for Sale, 2016-06-20 18:30, http://newjersey.craigslist.org/cto/5636754904.html, db:5636754904:db 
2016-07-09 16:43, 11.800, 66.500, 2009, forester, cleveland, automatic, excellent, clean, 2009 Subaru Forester, 2016-06-21 13:07, http://cleveland.craigslist.org/cto/5646489255.html, db:5646489255:db 
2016-07-09 16:43, 6.800, 63.000, 2008, impreza, cleveland, automatic, excellent, clean, 2008 subaru impreza, 2016-07-06 15:38, http://cleveland.craigslist.org/cto/5661512985.html, db:5661512985:db 
2016-07-09 16:44, 13.900, 61.000, 2011, forester, austin, automatic, excellent, clean, 2011 Subaru Forester, 2016-06-30 00:39, http://austin.craigslist.org/cto/5660620391.html, db:5660620391:db 
2016-07-09 16:44, 15.250, 46.000, 2010, forester, detroit, automatic, excellent, clean, 2010 subaru forester xt, 2016-06-29 21:06, http://detroit.craigslist.org/wyn/cto/5660388847.html, db:5660388847:db 
2016-07-09 16:44, 12.000, 53.500, 2013, impreza, detroit, automatic, excellent, clean, 2013 Subaru Impreza, 2016-06-20 13:44, http://detroit.craigslist.org/okl/cto/5622025110.html, db:5622025110:db 
2016-07-09 16:44, 14.500, 41.650, 2011, outback, denver, manual, excellent, clean, RARE 2011 Outback Sport Single Owner Black Low Mileage, 2016-06-29 06:17, http://denver.craigslist.org/cto/5619874221.html, db:5619874221:db 
2016-07-09 16:44, 14.000, 32.000, 2010, outback, denver, manual, good, clean, 2010 Subaru Impreza Outback Sport, 2016-07-08 09:34, http://boulder.craigslist.org/cto/5664631866.html, db:5664631866:db 
2016-07-09 16:44, 12.000, 76.065, 2008, outback, denver, manual, excellent, clean, 2008 Subaru Outback 2.5i, 2016-07-06 18:49, http://boulder.craigslist.org/cto/5670658554.html, db:5670658554:db 
2016-07-09 16:44, 14.000, 62.000, 2012, outback, denver, automatic, excellent, clean, Subaru Outback 2.5i 2012, 2016-07-05 09:15, http://rockies.craigslist.org/cto/5668021849.html, db:5668021849:db 
2016-07-09 16:44, 14.495, 69.000, 2010, outback, denver, automatic, excellent, clean, Subaru Impreza Outback Sport - 2010, 2016-07-04 15:38, http://boulder.craigslist.org/cto/5667259827.html, db:5667259827:db 
2016-07-09 16:44, 16.000, 24.000, 2015, forester, denver, manual, unknown, clean, ** Price Reduced** 2015 Subaru Forester, 2016-06-20 09:01, http://denver.craigslist.org/cto/5602059015.html, db:5602059015:db 
2016-07-09 16:44, 15.500, 65.000, 2011, forester, denver, automatic, excellent, clean, Subaru Forester 2011 - low miles- excellent condition, 2016-07-02 08:34, http://boulder.craigslist.org/cto/5664101333.html, db:5664101333:db 
2016-07-09 16:44, 13.995, 63.452, 2010, forester, denver, manual, unknown, clean, 2010 subaru forester 2.5x premium, 2016-07-01 10:46, http://boulder.craigslist.org/cto/5662781424.html, db:5662781424:db 
2016-07-09 16:44, 13.995, 63.452, 2010, forester, denver, manual, unknown, clean, 2010 subaru forester 2.5x premium, 2016-07-01 10:45, http://boulder.craigslist.org/cto/5662780136.html, db:5662780136:db 
2016-07-09 16:44, 14.000, 53.500, 2011, forester, denver, automatic, good, clean, 2011 Subaru Forester, 2016-06-30 22:27, http://boulder.craigslist.org/cto/5662155181.html, db:5662155181:db 
2016-07-09 16:44, 9.500, 67.000, 2012, impreza, denver, automatic, excellent, clean, 2012 Subaru Impreza, 2016-07-09 09:02, http://denver.craigslist.org/cto/5669808888.html, db:5669808888:db 
2016-07-09 16:44, 14.600, 69.600, 2012, impreza, denver, automatic, unknown, clean, 2012 Subaru Impreza Wagon 2.0i Sport, 2016-07-09 00:37, http://denver.craigslist.org/cto/5674193081.html, db:5674193081:db 
2016-07-09 16:44, 8.700, 70.500, 2008, impreza, denver, automatic, unknown, clean, Subaru Impreza with 70-500 Miles Must Sell!, 2016-07-08 11:37, http://denver.craigslist.org/cto/5667311755.html, db:5667311755:db 
2016-07-09 16:44, 14.599, 19.202, 2014, impreza, denver, automatic, excellent, clean, 2014 Subaru Impreza, 2016-07-08 09:14, http://denver.craigslist.org/cto/5654950371.html, db:5654950371:db 
2016-07-09 16:44, 13.995, 64.458, 2010, impreza, denver, manual, excellent, clean, 2010 Subaru Impreza Outback Sport for Sale, 2016-07-06 10:21, http://denver.craigslist.org/cto/5669846511.html, db:5669846511:db 
2016-07-09 16:44, 14.999, 50.100, 2011, impreza, denver, automatic, excellent, clean, Subaru Impreza 2.5i Premium, 2016-06-27 22:17, http://denver.craigslist.org/cto/5657178943.html, db:5657178943:db 
2016-07-09 16:44, 4.000, 65.000, 2008, impreza, denver, manual, excellent, clean, Subaru hatchback impreza 2008, 2016-06-22 18:56, http://denver.craigslist.org/cto/5649025697.html, db:5649025697:db 
2016-07-09 16:44, 15.000, 43.000, 2012, impreza, denver, manual, excellent, clean, 2012 Subaru Impreza Sport, 2016-06-11 11:08, http://denver.craigslist.org/cto/5630616981.html, db:5630616981:db 
2016-07-09 16:44, 10.500, 76.000, 2009, impreza, denver, manual, excellent, clean, EPIC 2009 Subaru Impreza Sport, 2016-06-11 10:52, http://denver.craigslist.org/cto/5630559894.html, db:5630559894:db 
2016-07-09 16:44, 14.000, 32.000, 2010, impreza, denver, manual, good, clean, 2010 Subaru Impreza Outback Sport, 2016-07-08 09:34, http://boulder.craigslist.org/cto/5664631866.html, db:5664631866:db 
2016-07-09 16:44, 12.000, 71.000, 2012, impreza, denver, automatic, good, clean, 2012 Subaru Impreza 2.0i Premium, 2016-07-08 05:19, http://cosprings.craigslist.org/cto/5658818311.html, db:5658818311:db 
2016-07-09 16:44, 12.500, 68.000, 2008, impreza, denver, automatic, good, clean, 2008 White Subaru Impreza AWD 2.5, 2016-07-07 21:04, http://boulder.craigslist.org/cto/5672465428.html, db:5672465428:db 
2016-07-09 16:44, 14.495, 69.000, 2010, impreza, denver, automatic, excellent, clean, Subaru Impreza Outback Sport - 2010, 2016-07-04 15:38, http://boulder.craigslist.org/cto/5667259827.html, db:5667259827:db 
2016-07-09 16:44, 14.000, 46.500, 2011, impreza, denver, automatic, excellent, clean, 2011 Subaru Impreza Wagon, 2016-07-03 08:52, http://rockies.craigslist.org/cto/5665454457.html, db:5665454457:db 
2016-07-09 16:44, 16.000, 53.321, 2012, impreza, denver, automatic, unknown, clean, 2012 Subaru Impreza Wagon, 2016-06-21 13:55, http://cosprings.craigslist.org/cto/5646827442.html, db:5646827442:db 
